from_revision,from_code,to_revision,to_code,weight,note
H4,080720,H4,080720,1.0000,identity
H4,080810,H4,080810,1.0000,identity
H4,080830,H4,080830,1.0000,identity
H4,080840,H4,080840,1.0000,identity
H4,080910,H4,080910,1.0000,identity
H4,080921,H4,080921,1.0000,identity
H4,080929,H4,080929,1.0000,identity
H4,080930,H4,080930,1.0000,identity
H4,080940,H4,080940,1.0000,identity
H4,081010,H4,081010,1.0000,identity
H4,081020,H4,081020,1.0000,identity
H4,081030,H4,081030,1.0000,identity
H4,081040,H4,081040,1.0000,identity
H4,081050,H4,081050,1.0000,identity
H4,081060,H4,081060,1.0000,identity
H4,081070,H4,081070,1.0000,identity
H4,081090,H4,081090,1.0000,identity
H4,081110,H4,081110,1.0000,identity
H4,081120,H4,081120,1.0000,identity
H4,081190,H4,081190,1.0000,identity
H4,081210,H4,081210,1.0000,identity
H4,081290,H4,081290,1.0000,identity
H4,081310,H4,081310,1.0000,identity
H4,081320,H4,081320,1.0000,identity
H4,081330,H4,081330,1.0000,identity
H4,081340,H4,081340,1.0000,identity
H4,081350,H4,081350,1.0000,identity
H4,081400,H4,081400,1.0000,identity
H4,090111,H4,090111,1.0000,identity
H4,090112,H4,090112,1.0000,identity
H4,090121,H4,090121,1.0000,identity
H4,090122,H4,090122,1.0000,identity
H4,090190,H4,090190,1.0000,identity
H4,090210,H4,090210,1.0000,identity
H4,090220,H4,090220,1.0000,identity
H4,090230,H4,090230,1.0000,identity
H4,090240,H4,090240,1.0000,identity
H4,090300,H4,090300,1.0000,identity
H4,090411,H4,090411,1.0000,identity
H4,090412,H4,090412,1.0000,identity
H4,090421,H4,090421,1.0000,identity
H4,090422,H4,090422,1.0000,identity
H4,090510,H4,090510,1.0000,identity
H4,090520,H4,090520,1.0000,identity
H4,090611,H4,090611,1.0000,identity
H4,090619,H4,090619,1.0000,identity
H4,090620,H4,090620,1.0000,identity
H4,090710,H4,090710,1.0000,identity
H4,090720,H4,090720,1.0000,identity
H4,090811,H4,090811,1.0000,identity
H4,090812,H4,090812,1.0000,identity
H4,090821,H4,090821,1.0000,identity
H4,090822,H4,090822,1.0000,identity
H4,090831,H4,090831,1.0000,identity
H4,090832,H4,090832,1.0000,identity
H4,090921,H4,090921,1.0000,identity
H4,090922,H4,090922,1.0000,identity
H4,090931,H4,090931,1.0000,identity
H4,090932,H4,090932,1.0000,identity
H4,090961,H4,090961,1.0000,identity
H4,090962,H4,090962,1.0000,identity
H4,091011,H4,091011,1.0000,identity
H4,091012,H4,091012,1.0000,identity
H4,091020,H4,091020,1.0000,identity
H4,091030,H4,091030,1.0000,identity
H4,091091,H4,091091,1.0000,identity
H4,091099,H4,091099,1.0000,identity
H4,100111,H4,100111,1.0000,identity
H4,100119,H4,100119,1.0000,identity
H4,100191,H4,100191,1.0000,identity
H4,100199,H4,100199,1.0000,identity
H4,100210,H4,100210,1.0000,identity
H4,100290,H4,100290,1.0000,identity
H4,100310,H4,100310,1.0000,identity
